modality,pred_id,roi,ad,azimuth,dxx,dxy,dxz,dyy,dyz,dzz,fa,inclination,md,rd,ses,sub
dwi-tensor,105,WM,0.2437977806125541,5.678104922009665,0.0838485743242115,0.0834813458119122,0.1031187372301874,0.0818956519390032,0.1074471307769493,0.0817518342597731,1.6857986275766574,0.5819284120151818,0.4192234437060602,0.5742321196973104,3.0,113.0
dwi-tensor,106,CSF,0.1167829888792378,8.399880551720415,0.0531969329776822,0.0631038180554628,0.0793847940034099,0.041598321548371,0.0848344544512818,0.0450473577464617,4.131138987012629,0.570104644263821,0.1953748752700768,0.3030581645862026,3.0,113.0
dwi-tensor,106,GM,0.1195912877228516,13.110077580052089,0.0715688830898668,0.0783850319500755,0.095258241398179,0.0609332127390536,0.101125424669912,0.0625622391187852,4.639427482004127,0.5523090431689833,0.324393384018873,0.4861774765148342,3.0,113.0
dwi-tensor,106,WM,0.2437977806125541,5.678104922009665,0.0838485743242115,0.0834813458119122,0.1031187372301874,0.0818956519390032,0.1074471307769493,0.0817518342597731,1.6857986275766574,0.5819284120151818,0.4192234437060602,0.5742321196973104,3.0,113.0
dwi-tensor,107,CSF,0.1167829888792378,8.399880551720415,0.0531969329776822,0.0631038180554628,0.0793847940034099,0.041598321548371,0.0848344544512818,0.0450473577464617,4.131138987012629,0.570104644263821,0.1953748752700768,0.3030581645862026,3.0,113.0
dwi-tensor,107,GM,0.1195912877228516,13.110077580052089,0.0715688830898668,0.0783850319500755,0.095258241398179,0.0609332127390536,0.101125424669912,0.0625622391187852,4.639427482004127,0.5523090431689833,0.324393384018873,0.4861774765148342,3.0,113.0
dwi-tensor,107,WM,0.2437977806125541,5.678104922009665,0.0838485743242115,0.0834813458119122,0.1031187372301874,0.0818956519390032,0.1074471307769493,0.0817518342597731,1.6857986275766574,0.5819284120151818,0.4192234437060602,0.5742321196973104,3.0,113.0
pc-bssfp,0,CSF,3158035394084.083,3.6411400937783887,0.2403367749662903,36.09526956340624,29.82063316115714,0.2431195657274527,62.55516398846764,0.2428013334908595,2.183664360485219,1.0878241708467775,0.2341544866497083,0.27424862663192,1.0,117.0
pc-bssfp,0,GM,154362543525.8742,6.3347229006982015,0.2335867084811246,37.65466227975187,28.712436531811196,0.2287067989386194,49.20885973486313,0.2320139392051909,2.70733036052695,1.3529663064795707,0.228077334616096,0.2825580437256708,1.0,117.0
pc-bssfp,0,WM,0.269133731139184,5.894162404469553,0.2588992657973316,30.78992703727237,15.779747967140652,0.2845135225106492,35.82768261904584,0.292373712610014,0.9420771752123728,1.6752283925730018,0.2832345098638668,0.2909833136783403,1.0,117.0
pc-bssfp,1,CSF,3275729829990.1685,3.645103415118461,0.0569561078075136,0.0478772929582088,0.0463897046663794,0.0582744997339113,0.0493429225668687,0.0556816194631644,2.168289186690223,1.089022015979059,0.2316320012721107,0.2710748154522961,1.0,117.0
pc-bssfp,1,GM,160921103270.25574,6.340916432809815,0.0508106303023087,0.0609123705795142,0.0589459881241803,0.0506534971793651,0.0633098591469584,0.0500125783676417,2.70506474150221,1.3546519616213342,0.2266135735034141,0.2809711753337289,1.0,117.0
pc-bssfp,1,WM,0.2693948089425589,5.892510938290805,0.0558310802828119,0.0748914690892575,0.0742103838335968,0.0631774519692235,0.0715402195240437,0.063862498426554,0.9376693446598224,1.6690303463184315,0.2828576137718012,0.2897961479930998,1.0,117.0
pc-bssfp,2,CSF,3081491314147.248,3.639351099247732,0.2387972929714391,36.50495269418001,30.1683954867308,0.2402580137836092,62.289607275117696,0.2432108239184292,2.2642542921536637,1.090301552657232,0.232535851609215,0.2738698595246621,1.0,117.0
